id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,C_index
FVG-15m-bull-20260706T0015,NQ,bull,15m,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,29748.5,29693.25,29801.0,29769.0,29730.25,29774.75,29748.5,29769.0,29758.75,2026-07-06 00:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 02:15:00-04:00,2026-07-06 01:45:00-04:00,2026-07-06 21:30:00-04:00,2026-07-06 21:30:00-04:00,33664
FVG-15m-bull-20260706T0030,NQ,bull,15m,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,2026-07-06 00:30:00-04:00,29778.0,29703.0,29836.0,29788.5,29771.5,29794.75,29778.0,29788.5,29783.25,2026-07-06 00:45:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,33665
FVG-15m-bull-20260706T0045,NQ,bull,15m,phase1-v1.0.0,2026-07-06 00:15:00-04:00,2026-07-06 00:30:00-04:00,2026-07-06 00:45:00-04:00,29801.0,29769.0,29840.5,29813.0,29795.5,29828.5,29801.0,29813.0,29807.0,2026-07-06 01:00:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,33666
FVG-15m-bull-20260706T0245,NQ,bull,15m,phase1-v1.0.0,2026-07-06 02:15:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:45:00-04:00,29797.0,29755.25,29855.5,29832.5,29789.0,29854.5,29797.0,29832.5,29814.75,2026-07-06 03:00:00-04:00,2026-07-06 03:15:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 04:15:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:30:00-04:00,33674
FVG-15m-bear-20260706T0415,NQ,bear,15m,phase1-v1.0.0,2026-07-06 03:45:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 04:15:00-04:00,29875.25,29851.25,29833.25,29780.0,29852.75,29821.75,29833.25,29851.25,29842.25,2026-07-06 04:30:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,33680
FVG-15m-bull-20260706T0445,NQ,bull,15m,phase1-v1.0.0,2026-07-06 04:15:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:45:00-04:00,29833.25,29780.0,29870.75,29838.5,29831.0,29843.25,29833.25,29838.5,29835.875,2026-07-06 05:00:00-04:00,2026-07-06 06:00:00-04:00,,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,33682
FVG-15m-bear-20260706T0915,NQ,bear,15m,phase1-v1.0.0,2026-07-06 08:45:00-04:00,2026-07-06 09:00:00-04:00,2026-07-06 09:15:00-04:00,29935.0,29898.75,29865.0,29820.25,29934.75,29858.0,29865.0,29898.75,29881.875,2026-07-06 09:30:00-04:00,2026-07-06 09:45:00-04:00,2026-07-06 09:45:00-04:00,2026-07-06 09:45:00-04:00,2026-07-06 09:45:00-04:00,2026-07-06 09:45:00-04:00,33700
FVG-15m-bull-20260706T0945,NQ,bull,15m,phase1-v1.0.0,2026-07-06 09:15:00-04:00,2026-07-06 09:30:00-04:00,2026-07-06 09:45:00-04:00,29865.0,29820.25,30009.0,29896.0,29835.75,29921.5,29865.0,29896.0,29880.5,2026-07-06 10:00:00-04:00,2026-07-06 13:45:00-04:00,2026-07-06 19:00:00-04:00,2026-07-06 19:30:00-04:00,2026-07-06 19:45:00-04:00,2026-07-06 19:45:00-04:00,33702
FVG-15m-bear-20260706T1230,NQ,bear,15m,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 12:15:00-04:00,2026-07-06 12:30:00-04:00,30094.0,30053.5,30044.25,30002.75,30071.25,30032.25,30044.25,30053.5,30048.875,2026-07-06 12:45:00-04:00,2026-07-06 15:30:00-04:00,2026-07-10 13:30:00-04:00,2026-07-06 15:30:00-04:00,2026-07-10 13:45:00-04:00,2026-07-10 13:45:00-04:00,33713
FVG-15m-bear-20260706T1330,NQ,bear,15m,phase1-v1.0.0,2026-07-06 13:00:00-04:00,2026-07-06 13:15:00-04:00,2026-07-06 13:30:00-04:00,30036.75,29975.25,29960.5,29882.25,30019.25,29954.75,29960.5,29975.25,29967.875,2026-07-06 13:45:00-04:00,2026-07-06 14:15:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,33717
