instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,segment_id,end_index
NQ,1m,bull,1,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,11.0,1,1.0,11.0,60.0,70.0,77.5,,0.6567164179104478,0.6567164179104478,16.75,False,25,504905
NQ,1m,bear,1,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,-11.0,0,0.0,0.0,60.0,70.0,77.5,,0.34328358208955223,0.6567164179104478,16.75,False,25,504905
NQ,1m,bull,2,phase1-v1.0.0,2026-07-05 23:58:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,17.5,2,1.0,8.5,55.0,65.0,70.0,0.75,0.6567164179104478,0.6542056074766355,26.75,False,25,504905
NQ,1m,bear,2,phase1-v1.0.0,2026-07-05 23:58:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,-17.5,0,0.0,0.0,55.0,65.0,70.0,0.75,0.34328358208955223,0.6542056074766355,26.75,False,25,504905
NQ,1m,bull,3,phase1-v1.0.0,2026-07-05 23:57:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,21.75,3,1.0,6.0,50.0,60.0,62.5,2.625,0.6567164179104478,0.54375,40.0,False,25,504905
NQ,1m,bear,3,phase1-v1.0.0,2026-07-05 23:57:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,-21.75,0,0.0,0.0,50.0,60.0,62.5,2.625,0.34328358208955223,0.54375,40.0,False,25,504905
NQ,1m,bull,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,-18.5,0,0.0,0.0,90.0,95.0,97.5,,0.2966101694915254,0.6271186440677966,29.5,False,25,504906
NQ,1m,bear,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,18.5,1,1.0,18.5,90.0,95.0,97.5,,0.7033898305084746,0.6271186440677966,29.5,False,25,504906
NQ,1m,bull,2,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,-7.5,1,0.5,11.0,75.0,82.5,87.5,13.25,0.2966101694915254,0.16216216216216217,46.25,False,25,504906
NQ,1m,bear,2,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,7.5,1,0.5,18.5,75.0,82.5,87.5,13.25,0.7033898305084746,0.16216216216216217,46.25,False,25,504906
NQ,1m,bull,3,phase1-v1.0.0,2026-07-05 23:58:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,-1.0,2,0.6666666666666666,8.5,60.0,70.0,77.5,7.0,0.2966101694915254,0.017777777777777778,56.25,False,25,504906
NQ,1m,bear,3,phase1-v1.0.0,2026-07-05 23:58:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,1.0,1,0.3333333333333333,18.5,60.0,70.0,77.5,7.0,0.7033898305084746,0.017777777777777778,56.25,False,25,504906
NQ,1m,bull,1,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,2.0,1,1.0,2.0,10.0,10.0,12.5,,0.5192307692307693,0.15384615384615385,13.0,False,25,504907
NQ,1m,bear,1,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,-2.0,0,0.0,0.0,10.0,10.0,12.5,,0.4807692307692308,0.15384615384615385,13.0,False,25,504907
NQ,1m,bull,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,-15.5,1,0.5,2.0,50.0,52.5,55.0,13.0,0.5192307692307693,0.36470588235294116,42.5,False,25,504907
NQ,1m,bear,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,15.5,1,0.5,18.5,50.0,52.5,55.0,13.0,0.4807692307692308,0.36470588235294116,42.5,False,25,504907
NQ,1m,bull,3,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,-4.5,2,0.6666666666666666,6.5,60.0,70.0,77.5,13.125,0.5192307692307693,0.0759493670886076,59.25,False,25,504907
NQ,1m,bear,3,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,4.5,1,0.3333333333333333,18.5,60.0,70.0,77.5,13.125,0.4807692307692308,0.0759493670886076,59.25,False,25,504907
NQ,1m,bull,1,phase1-v1.0.0,2026-07-06 00:02:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,-2.5,0,0.0,0.0,20.0,15.0,17.5,,0.4827586206896552,0.3448275862068966,7.25,False,25,504908
NQ,1m,bear,1,phase1-v1.0.0,2026-07-06 00:02:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,2.5,1,1.0,2.5,20.0,15.0,17.5,,0.5172413793103449,0.3448275862068966,7.25,False,25,504908
NQ,1m,bull,2,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,-1.75,1,0.5,2.0,15.0,12.5,15.0,6.75,0.4827586206896552,0.08641975308641975,20.25,False,25,504908
NQ,1m,bear,2,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,1.75,1,0.5,2.5,15.0,12.5,15.0,6.75,0.5172413793103449,0.08641975308641975,20.25,False,25,504908
NQ,1m,bull,3,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,-19.25,1,0.3333333333333333,2.0,20.0,15.0,17.5,9.875,0.4827586206896552,0.3869346733668342,49.75,False,25,504908
NQ,1m,bear,3,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,19.25,2,0.6666666666666666,10.5,20.0,15.0,17.5,9.875,0.5172413793103449,0.3869346733668342,49.75,False,25,504908
NQ,1m,bull,1,phase1-v1.0.0,2026-07-06 00:03:00-04:00,2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,14.75,1,1.0,14.75,80.0,80.0,87.5,,0.9078947368421053,0.7763157894736842,19.0,False,25,504909
NQ,1m,bear,1,phase1-v1.0.0,2026-07-06 00:03:00-04:00,2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,-14.75,0,0.0,0.0,80.0,80.0,87.5,,0.09210526315789473,0.7763157894736842,19.0,False,25,504909
