family,id,timeframe,event,ts_et,deactivation_reason
FVG,FVG2-000001,1,FORMED,2026-07-12 18:04:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000001,1,FIRST_TOUCH,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000001,1,MIDPOINT,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000001,1,FULL_FILL,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000001,1,INVERSION,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000002,1,FORMED,2026-07-12 18:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000002,1,FIRST_TOUCH,2026-07-12 18:46:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000002,1,MIDPOINT,2026-07-12 18:46:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000002,1,FULL_FILL,2026-07-12 18:46:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000003,1,FORMED,2026-07-12 18:52:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000003,1,FIRST_TOUCH,2026-07-12 19:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000003,1,MIDPOINT,2026-07-12 19:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000003,1,FULL_FILL,2026-07-12 19:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000004,1,FORMED,2026-07-12 18:57:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000004,1,FIRST_TOUCH,2026-07-12 19:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000004,1,MIDPOINT,2026-07-12 19:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000004,1,FULL_FILL,2026-07-12 19:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000004,1,INVERSION,2026-07-12 19:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000005,1,FORMED,2026-07-12 19:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000005,1,FIRST_TOUCH,2026-07-12 20:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000005,1,MIDPOINT,2026-07-12 20:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000005,1,FULL_FILL,2026-07-12 20:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000006,1,FORMED,2026-07-12 19:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000006,1,FIRST_TOUCH,2026-07-12 19:02:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000006,1,MIDPOINT,2026-07-12 19:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000006,1,FULL_FILL,2026-07-12 20:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000007,1,FORMED,2026-07-12 19:29:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000007,1,FIRST_TOUCH,2026-07-12 19:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000007,1,MIDPOINT,2026-07-12 19:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000007,1,FULL_FILL,2026-07-12 19:31:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000008,1,FORMED,2026-07-12 19:46:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000008,1,FIRST_TOUCH,2026-07-12 19:50:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000008,1,MIDPOINT,2026-07-12 19:51:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000008,1,FULL_FILL,2026-07-12 19:51:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000008,1,INVERSION,2026-07-12 19:51:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000009,1,FORMED,2026-07-12 19:51:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000009,1,FIRST_TOUCH,2026-07-12 19:52:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000009,1,MIDPOINT,2026-07-12 19:53:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000009,1,FULL_FILL,2026-07-12 19:55:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000010,1,FORMED,2026-07-12 20:03:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000010,1,FIRST_TOUCH,2026-07-12 20:31:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000010,1,MIDPOINT,2026-07-12 20:33:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000010,1,FULL_FILL,2026-07-12 20:34:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000010,1,INVERSION,2026-07-12 20:34:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000011,1,FORMED,2026-07-12 20:18:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000011,1,FIRST_TOUCH,2026-07-12 20:20:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000011,1,MIDPOINT,2026-07-12 20:20:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000011,1,FULL_FILL,2026-07-12 20:21:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000012,1,FORMED,2026-07-12 20:29:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000012,1,EXPIRY,2026-07-13 04:29:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000013,1,FORMED,2026-07-12 20:31:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000013,1,EXPIRY,2026-07-13 04:31:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000014,1,FORMED,2026-07-12 20:32:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000014,1,EXPIRY,2026-07-13 04:32:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000015,1,FORMED,2026-07-12 20:34:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000015,1,EXPIRY,2026-07-13 04:34:00-04:00,EXPIRED_UNTOUCHED_8H
FVG,FVG2-000016,1,FORMED,2026-07-12 20:38:00-04:00,EXPIRED_ACTIVE_8H
FVG,FVG2-000016,1,FIRST_TOUCH,2026-07-12 20:46:00-04:00,EXPIRED_ACTIVE_8H
FVG,FVG2-000016,1,EXPIRY,2026-07-13 04:38:00-04:00,EXPIRED_ACTIVE_8H
FVG,FVG2-000017,1,FORMED,2026-07-12 20:46:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000017,1,FIRST_TOUCH,2026-07-12 20:47:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000017,1,MIDPOINT,2026-07-12 20:47:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000017,1,FULL_FILL,2026-07-12 20:47:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000018,1,FORMED,2026-07-12 21:25:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000018,1,FIRST_TOUCH,2026-07-12 21:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000018,1,MIDPOINT,2026-07-12 21:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000018,1,FULL_FILL,2026-07-12 21:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000018,1,INVERSION,2026-07-12 21:36:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000019,1,FORMED,2026-07-12 21:26:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000019,1,FIRST_TOUCH,2026-07-12 21:29:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000019,1,MIDPOINT,2026-07-12 21:29:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000019,1,FULL_FILL,2026-07-12 21:29:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000019,1,INVERSION,2026-07-12 21:29:00-04:00,DEACTIVATED_CLOSE_THROUGH
FVG,FVG2-000020,1,FORMED,2026-07-12 21:36:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000020,1,FIRST_TOUCH,2026-07-12 21:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000020,1,MIDPOINT,2026-07-12 21:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000020,1,FULL_FILL,2026-07-12 21:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000021,1,FORMED,2026-07-12 21:37:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000021,1,FIRST_TOUCH,2026-07-12 21:40:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000021,1,MIDPOINT,2026-07-12 21:42:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000021,1,FULL_FILL,2026-07-12 21:43:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000022,1,FORMED,2026-07-12 21:53:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000022,1,FIRST_TOUCH,2026-07-12 21:54:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000022,1,MIDPOINT,2026-07-12 21:54:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
FVG,FVG2-000022,1,FULL_FILL,2026-07-12 21:54:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
